Organization,Event Time,Confidence Score,Camera ID
BNU,2026-04-05T12:27:50.017694,0.0921,cam1
BNU,2026-04-05T12:27:51.747068,0.1033,cam1
BNU,2026-04-05T12:27:53.374226,0.1142,cam1
BNU,2026-04-05T12:27:55.016060,0.1684,cam1
BNU,2026-04-05T12:27:56.631259,0.1020,cam1
BNU,2026-04-05T12:27:58.318420,0.0954,cam1
BNU,2026-04-05T12:27:59.970711,0.0867,cam1
BNU,2026-04-05T12:28:01.592226,0.0949,cam1
BNU,2026-04-05T12:28:03.189256,0.1108,cam1
BNU,2026-04-05T12:28:04.768408,0.1111,cam1
BNU,2026-04-05T12:28:06.307125,0.1131,cam1
BNU,2026-04-05T12:28:07.974683,0.1296,cam1
BNU,2026-04-05T12:28:09.566171,0.0629,cam1
BNU,2026-04-05T12:28:11.215378,0.0683,cam1
BNU,2026-04-05T12:28:12.874210,0.0747,cam1
BNU,2026-04-05T12:28:14.554449,0.0803,cam1
BNU,2026-04-05T12:28:16.217594,0.0819,cam1
BNU,2026-04-05T12:28:18.027564,0.0773,cam1
BNU,2026-04-05T12:28:19.656914,0.0907,cam1
BNU,2026-04-05T12:28:21.316510,0.0778,cam1
BNU,2026-04-05T12:28:22.974406,0.0622,cam1
BNU,2026-04-05T12:28:24.740425,0.0774,cam1
BNU,2026-04-05T12:28:26.527877,0.0779,cam1
BNU,2026-04-05T12:28:28.181667,0.0855,cam1
BNU,2026-04-05T12:28:29.854077,0.1628,cam1
BNU,2026-04-05T12:28:31.501311,0.0827,cam1
BNU,2026-04-05T12:28:33.131979,0.1144,cam1
BNU,2026-04-05T12:28:34.864873,0.0898,cam1
BNU,2026-04-05T12:28:36.492188,0.1044,cam1
BNU,2026-04-05T12:28:38.063808,0.1250,cam1
BNU,2026-04-05T12:28:39.617216,0.1352,cam1
BNU,2026-04-05T12:28:41.132015,0.1388,cam1
BNU,2026-04-05T12:28:42.830559,0.1288,cam1
BNU,2026-04-05T12:28:44.553834,0.0900,cam1
BNU,2026-04-05T12:28:46.168222,0.3273,cam1
BNU,2026-04-05T12:28:47.811724,0.0961,cam1
BNU,2026-04-05T12:28:49.448575,0.0761,cam1
BNU,2026-04-05T12:28:51.086576,0.1007,cam1
BNU,2026-04-05T12:28:52.698143,0.1063,cam1
BNU,2026-04-05T12:28:54.463119,0.0934,cam1
BNU,2026-04-05T12:28:56.085863,0.0946,cam1
BNU,2026-04-05T12:28:57.741258,0.0994,cam1
BNU,2026-04-05T12:28:59.257611,0.0969,cam1
BNU,2026-04-05T12:29:00.847828,0.0983,cam1
BNU,2026-04-05T12:29:02.474489,0.0954,cam1
BNU,2026-04-05T12:29:04.231667,0.1003,cam1
BNU,2026-04-05T12:29:05.762481,0.1003,cam1
BNU,2026-04-05T12:29:07.341105,0.1126,cam1
BNU,2026-04-05T12:29:09.032742,0.1033,cam1
BNU,2026-04-05T12:29:10.617957,0.1023,cam1
BNU,2026-04-05T12:29:12.176590,0.1077,cam1
BNU,2026-04-05T12:29:13.934407,0.1389,cam1
BNU,2026-04-05T12:29:15.483075,0.1155,cam1
BNU,2026-04-05T12:29:17.041483,0.1283,cam1
BNU,2026-04-05T12:29:18.620932,0.1019,cam1
BNU,2026-04-05T12:29:20.334896,0.1522,cam1
BNU,2026-04-05T12:29:21.934571,0.1152,cam1
BNU,2026-04-05T12:29:23.560196,0.1118,cam1
BNU,2026-04-05T12:29:25.141575,0.1093,cam1
BNU,2026-04-05T12:29:26.801501,0.1288,cam1
BNU,2026-04-05T12:29:28.460407,0.1105,cam1
BNU,2026-04-05T12:29:30.009056,0.0985,cam1
BNU,2026-04-05T12:37:07.542503,0.0945,cam1
BNU,2026-04-05T12:37:08.858098,0.6115,cam1
BNU,2026-04-05T12:37:10.181627,0.2612,cam1
BNU,2026-04-05T12:37:11.514809,0.4673,cam1
BNU,2026-04-05T12:37:13.224648,0.4221,cam1
BNU,2026-04-05T12:37:14.851006,0.2130,cam1
BNU,2026-04-05T12:58:03.724310,0.1041,cam1
BNU,2026-04-05T21:10:55.511978,0.5108,cam1
BNU,2026-04-05T21:10:57.046810,0.0083,cam1
BNU,2026-04-05T21:10:58.635920,0.0087,cam1
BNU,2026-04-05T21:11:00.106883,0.0095,cam1
BNU,2026-04-05T21:11:01.700098,0.0100,cam1
BNU,2026-04-05T21:11:03.265543,0.0097,cam1
BNU,2026-04-05T21:11:04.788332,0.0083,cam1
BNU,2026-04-05T21:11:06.295497,0.1071,cam1
BNU,2026-04-05T21:11:07.788918,0.0032,cam1
BNU,2026-04-05T21:11:09.338672,0.0030,cam1
BNU,2026-04-05T21:11:10.652206,0.0033,cam1
BNU,2026-04-05T21:11:12.238653,0.0039,cam1
BNU,2026-04-05T21:11:13.775395,0.0041,cam1
BNU,2026-04-05T21:11:18.764878,0.0033,cam1
BNU,2026-04-05T21:11:20.270364,0.0035,cam1
BNU,2026-04-05T21:11:57.999523,0.1071,cam1
BNU,2026-04-05T21:11:59.551531,0.0029,cam1
BNU,2026-04-05T21:12:00.990104,0.0028,cam1
BNU,2026-04-05T21:12:02.509914,0.0029,cam1
BNU,2026-04-05T21:12:04.057447,0.0027,cam1
BNU,2026-04-05T21:12:05.586304,0.0025,cam1
BNU,2026-04-05T21:12:09.985108,0.0024,cam1
BNU,2026-04-05T21:12:11.443718,0.0023,cam1
BNU,2026-04-05T21:12:12.900024,0.0027,cam1
BNU,2026-04-05T21:12:14.398534,0.0020,cam1
BNU,2026-04-05T21:12:20.381222,0.0016,cam1
BNU,2026-04-05T21:12:21.791027,0.0025,cam1
BNU,2026-04-05T21:12:23.395886,0.0017,cam1
BNU,2026-04-05T21:12:24.856856,0.0083,cam1
BNU,2026-04-05T21:12:26.360796,0.0015,cam1
BNU,2026-04-05T21:12:27.845802,0.0022,cam1
BNU,2026-04-05T21:12:29.401260,0.0029,cam1
BNU,2026-04-05T21:12:30.823726,0.0044,cam1
BNU,2026-04-05T21:12:32.298250,0.0046,cam1
BNU,2026-04-05T21:12:33.729522,0.0035,cam1
BNU,2026-04-05T21:12:35.296693,0.0034,cam1
BNU,2026-04-05T21:12:36.850776,0.0037,cam1
BNU,2026-04-05T21:12:38.287651,0.0034,cam1
BNU,2026-04-05T21:12:39.723988,0.0041,cam1
BNU,2026-04-05T21:12:41.299956,0.0032,cam1
BNU,2026-04-05T21:13:02.824967,0.1743,cam1
BNU,2026-04-05T21:13:04.358648,0.0014,cam1
BNU,2026-04-05T21:13:41.361254,0.0013,cam1
BNU,2026-04-05T21:13:42.816800,0.0021,cam1
BNU,2026-04-05T21:13:44.115711,0.0019,cam1
BNU,2026-04-05T21:13:45.450025,0.0021,cam1
BNU,2026-04-05T21:13:46.731186,0.0021,cam1
BNU,2026-04-05T21:13:48.003438,0.0278,cam1
BNU,2026-04-05T21:13:49.552867,0.0132,cam1
BNU,2026-04-05T21:13:51.104875,0.0107,cam1
BNU,2026-04-05T21:13:52.567219,0.0148,cam1
BNU,2026-04-05T21:13:54.026315,0.0249,cam1
BNU,2026-04-05T21:13:55.508808,0.0195,cam1
BNU,2026-04-05T21:13:56.993764,0.0172,cam1
BNU,2026-04-05T21:13:58.480691,0.0221,cam1
BNU,2026-04-05T21:14:38.728883,0.0048,cam1
